Organism,Genus,G.Size (MB),G.Size (pg),Angiosperm Group
Abelmoschus esculentus,Abelmoschus,1613.7,1.65,Eudicot
Abutilon theophrasti,Abutilon,1369.2,1.4,Eudicot
Acacia tortilis,Acacia,518.34,0.53,Eudicot
Acacia caffra,Acacia,537.9,0.55,Eudicot
Acacia nilotica,Acacia,537.9,0.55,Eudicot
Acacia polycantha,Acacia,537.9,0.55,Eudicot
Acacia albida,Acacia,567.24,0.58,Eudicot
Acacia drepanolobium,Acacia,567.24,0.58,Eudicot
Acacia modesta,Acacia,586.8,0.6,Eudicot
Acacia mellifera,Acacia,586.8,0.6,Eudicot
Acacia sieberana,Acacia,586.8,0.6,Eudicot
Acacia mangium,Acacia,635.7,0.65,Eudicot
Acacia catechu,Acacia,684.6,0.7,Eudicot
Acacia mearnsii,Acacia,684.6,0.7,Eudicot
Acacia tortilis,Acacia,684.6,0.7,Eudicot
Acacia constricta,Acacia,713.94,0.73,Eudicot
Acacia melanoxylon,Acacia,733.5,0.75,Eudicot
Acacia colletioides,Acacia,753.06,0.77,Eudicot
Acacia heterophylla,Acacia,782.4,0.8,Eudicot
Acacia implexa,Acacia,782.4,0.8,Eudicot
Acacia doratoxylon,Acacia,792.18,0.81,Eudicot
Acacia wilhelmiana,Acacia,792.18,0.81,Eudicot
Acacia sophorae,Acacia,811.74,0.83,Eudicot
Acacia nubica,Acacia,831.3,0.85,Eudicot
Acacia smallii,Acacia,841.08,0.86,Eudicot
Acacia dealbata,Acacia,850.86,0.87,Eudicot
Acacia suaveolens,Acacia,880.2,0.9,Eudicot
Acacia oswaldii,Acacia,899.76,0.92,Eudicot
Acacia raddiana,Acacia,929.1,0.95,Eudicot
Acacia floribunda,Acacia,938.88,0.96,Eudicot
Acacia seyal,Acacia,1056.24,1.08,Eudicot
Acacia nilotica,Acacia,1075.8,1.1,Eudicot
Acacia tortilis,Acacia,1075.8,1.1,Eudicot
Acacia falciformis,Acacia,1154.04,1.18,Eudicot
Acacia nilotica,Acacia,1173.6,1.2,Eudicot
Acacia leptocarpa,Acacia,1202.94,1.23,Eudicot
Acacia dealbata,Acacia,1242.06,1.27,Eudicot
Acacia verek,Acacia,1271.4,1.3,Eudicot
Acacia salicina,Acacia,1300.74,1.33,Eudicot
Acacia gerrardi,Acacia,1300.74,1.33,Eudicot
Acacia crassicarpa,Acacia,1349.64,1.38,Eudicot
Acacia bivenosa,Acacia,1369.2,1.4,Eudicot
