Organism,C.Size(Mb),GC%,CDS
Abeliophyllum distichum,0.155982,37.8185,87
Abelmoschus esculentus,0.163121,36.7365,87
Abies koreana,0.121373,38.2499,74
Abies sibirica,0.121224,38.2606,74
Acacia dealbata,0.174217,35.3863,91
Acacia ligulata,0.174233,35.3745,89
Acer buergerianum,0.156477,37.8797,88
Acer davidii,0.157044,37.941,86
Acer griseum,0.156857,37.9097,86
Acer miaotaiense,0.156595,37.885,89
Acer morrisonense,0.157197,37.8188,86
Acidosasa purpurea,0.139697,38.897,82
Acioa guianensis,0.162329,36.2012,83
Acnistus arborescens,0.156898,37.6773,84
Acnistus arborescens x Iochroma cyaneum,0.156841,37.6796,83
Aconitum austrokoreense,0.155682,38.1149,85
Aconitum carmichaelii,0.155737,38.1387,84
Aconitum chiisanense,0.155934,38.1039,85
Aconitum ciliare,0.155832,38.1359,85
Aconitum coreanum,0.157029,37.9987,86
Aconitum kusnezoffii,0.155862,38.1312,85
Aconitum longecassidatum,0.155524,38.0571,87
Aconitum monanthum,0.155688,38.1115,85
Aconitum pseudolaeve,0.155628,38.0478,87
Acorus americanus,0.153819,38.5934,84
Acrosorium ciliolatum,0.176064,25.5208,206
Actinidia arguta,0.156484,37.2319,84
Actinidia chinensis,0.156346,37.1963,83
Actinidia deliciosa,0.156741,37.1613,83
Actinidia eriantha,0.156964,37.1901,84
Actinidia kolomikta,0.157425,37.1834,84
Actinidia polygama,0.156583,37.2454,83
Actinidia tetramera,0.157659,37.0331,83
Adenanthera microsperma,0.159389,36.4724,83
Adenophora remotiflora,0.171724,38.7552,82
Adiantum capillus-veneris,0.150568,42.0069,87
Adoxa moschatellina,0.157238,37.786,81
Aegilops bicornis,0.136861,38.2936,82
Aegilops cylindrica,0.11349,37.2896,77
Aegilops geniculata,0.113893,37.1919,79
Aegilops kotschyi,0.136868,38.2931,82
Aegilops longissima,0.136875,38.2926,82
Aegilops searsii,0.136863,38.2952,82
Aegilops sharonensis,0.136867,38.2941,82
Aegilops speltoides,0.113536,37.2543,77
Aegilops tauschii subsp. tauschii,0.114112,37.259,80
Aesculus wangii,0.155871,37.9545,84
Aethionema arabicum,0.154234,36.61,83
Aethionema cordifolium,0.154168,36.6191,84
Aethionema grandiflorum,0.154243,36.814,84
Afrolicania elaeosperma,0.162128,36.3133,83
Agapanthus coddii,0.157055,37.4576,86
Agathis dammara,0.145625,36.5363,81
Agave americana,0.157274,37.8416,83
